time	text	annotator A	annotator B	annotator C	
5月19日 22:19	USERNAME也看看破婶儿	0	0	0	
5月19日 22:21	一个月2800的USERNAME你要不要考虑一下[笑哭]	0	0	0	
5月19日 22:26	哈哈哈哈请求感情路线？	0	0	0	
5月19日 22:22	哈哈哈哈这样下去安全感都要没了	0	0	0	
5月30日 09:38	看USERNAME看得都要弃剧了…	1	1	1	
5月19日 22:17	好好当个护士不好吗拜托拜托看你看的都要弃剧了	1	1	1	
5月19日 22:18	支持USERNAME…角色问题不要上升演员。而且看剧我们真的太上帝视角了，还是得学着去理解这个角色。最初我看的时候以为USERNAME会和USERNAME有感情戏，考虑到战友关系真的无法接受，但是后来也都说清楚了。所以…为黑而黑，躺着也中枪，USERNAME这也太惨了吧。	0	0	0	
5月20日 00:37	我终于想起你是谁了！！！看到这个照片我才想起来！！！当时看校二就对你特别有好感！！！好激动	0	0	0	
5月19日 22:18	哈哈哈哈姐姐你真的哈哈哈哈	0	0	0	
5月24日 15:50	USERNAME很漂亮	0	0	0	
5月22日 09:27	你胆儿可真肥，敢一个人去塔寨，我都不敢去	0	0	0	
5月22日 00:28	哇你演技也太好了吧！跟安琪拉宝贝儿有一拼了，嘻嘻	0	1	1	
5月21日 23:01	我觉得挺不咋地的，尤其是害怕的那个喘气声真的太过于夸张了，从头到尾一直喘气害怕，直接快进太烦人了	0	1	0	
5月20日 15:00	之之小朋友，你成功的暴露了喜欢USERNAME~！哈哈哈哈	0	0	0	
5月20日 12:48	哈哈哈USERNAME姐颜还是够我舔的	0	0	0	
5月20日 08:41	我还没有追齐，看了开头，觉得USERNAME可能在情感里有点摇摆（原因写不下了），但是这个演员USERNAME好可爱好好玩哦	0	0	0	
5月20日 08:22	稳住兄弟！！	0	0	0	
5月20日 07:53	兄弟??你真的是这部剧的最大败笔??没有之一???请问你剧里几时领盒饭	1	1	1	
5月20日 04:10	支持一下USERNAME，USERNAME的角色其实拍得不错，剧里面带有在牵线作用。我觉得很多不理解的人，看剧只看表面。可能现在人看青春情感剧看得太多了，所以不用理会其他人怎么想，做好这个角色是最好的收获	0	0	0	
5月19日 22:19	你会爬墙	0	0	0	
5月22日 01:02	每日一问，USERNAME什么时候领盒饭	0	0	0	
5月20日 12:28	只要你出现，我就快进	0	1	1	
5月20日 00:47	我真的受不了USERNAME了，求求她放过USERNAME吧（不上升演员哦~）	1	0	1	
5月20日 00:39	主要是演技太差，演员理解不了角色。把一个勇敢独立的女生演成一个只想和男朋友好兄弟谈恋爱的花痴女？	1	1	1	
5月20日 00:19	USERNAME的戏我真的是快进。因为我觉得不要掺榨过多情感。因为这是部禁毒戏。	0	0	0	
5月20日 00:14	你演技真的不行啊。老妹儿。要锻炼一下。	1	1	1	
5月19日 23:56	给我说实话吧！USERNAME会和USERNAME在一起吗？如果会我就弃剧了	0	0	0	
5月20日 01:58	USERNAME这个人物不应该是这样来塑造的我认为是演员的问题一直都是一个表情感觉不到USERNAME的死给她带来的打击哭得不会让人同情反而挺招人烦的	1	0	0	
5月20日 07:49	角色不上升演员，那些对角色有怨念的请到官博下面发泄，抱走USERNAME～都什么年代了，还当紫薇被扎针，容嬷嬷被全体观众恨的牙痒痒的时候吗	0	0	0	
5月19日 23:24	USERNAME的求生欲，好惨一女的	0	0	0	
5月19日 23:00	我记得USERNAME说过和USERNAME没有感情戏的	0	0	0	
5月19日 22:53	无语了，最烦有些人角色和演员分不清的，跑到演员微博下面来唧唧歪歪，你们再不喜欢USERNAME，那和演员有什么关系？只能说是编剧人设的原因	0	0	0	
5月19日 22:51	尴尬真是	1	1	1	
5月19日 22:50	你是带资进组的吧！讨厌死你了你一点演技都没有，一有镜头就是从你的两条腿拍起！感觉USERNAME领盒饭后你也该领！讲真的三级之后，一有你镜头立马划过去！不看！希望你以后不要参与这种片子啦！简直拖其他演员的后腿！好吗！??	1	1	1	
5月19日 22:22	要是有感情线，破冰这部戏就毁了	0	0	0	
5月31日 08:43	不明白你一个护士跑去找什么线索，我真是……	0	0	0	
5月24日 13:28	哈哈哈哈你看现代演员求生之路	0	0	0	
