time	text	Annotator A	Annotator B	Annotator C
6月10日 23:43	强烈要求三个一样的英雄可以不主动合成嗷！俺想摆一排亚索！磕头了！！！！	0	0	0
6月10日 23:44	英雄战旗模式？？！我已经开始期待	0	0	0
6月10日 23:44	搞起来！	0	0	0
6月10日 23:49	像我这种老年选手有福了，每天上班下棋摸摸鱼	0	0	0
6月10日 23:44	上线越快越好，请速度。	0	0	0
6月10日 23:48	看起来很有意思的亚子	0	0	0
6月10日 23:54	开始期待[鼓掌]	0	0	0
今天 00:04	看了一下不是我可以理解的模式	0	0	0
6月10日 23:51	官博发的消息比我发的还慢	0	0	0
今天 00:14	冲冲冲，很期待	0	0	0
6月10日 23:56	LOL自走棋	0	0	0
今天 13:56	真的low	1	1	1
今天 00:04	自走棋也开始抄了？就你这个破产客户端能整明白不？	1	1	1
今天 00:01	copy起来了？	1	1	1
6月10日 23:54	开始期待	0	0	0
6月10日 23:43	lol自走棋	0	0	0
6月10日 23:43	当所有人都觉得最后一场战斗一定是巨鸟多多和V社拼刺刀的时候，腾讯扛着两把火箭炮站了起来……（隔壁偷的热评）	0	0	0
6月10日 23:46	说偷的建议宁赶紧把拳头[拳]告上法庭中美联告嗷我支持你们如果没告你在这说你马了个逼呢？宁说是吗？	1	1	1
6月10日 23:45	Dota2自走棋看不懂英雄，来英雄联盟就懂了，哈哈哈，冲！！！！	0	0	0
6月10日 23:44	你要是开放自制地图，我还能高看你一眼。抄袭，我呸。果然够腾讯。	1	1	1
6月10日 23:43	我已经能看到评论区是啥样了	0	0	0
6月10日 23:49	请自走棋玩家不要占用我排位玩家的服务器	0	0	0
6月10日 23:44	别几把搞有的没的，客户端还塞的下？出个至臻客户端行不？	1	1	1
6月10日 23:57	真就TM啥火就照抄啥呗。。。一点创新力没有。也是。本来就模仿的刀塔，这回啊。更是坐实了，也开始下棋了。。。	1	1	1
6月10日 23:44	腾讯的自走棋，我只知道一点，充钱可以让你天胡	0	1	0
今天 00:02	真是心疼腾讯，早遇到你们这群粉丝，那几年哪能被人骂成那样？什么抄袭？什么血轮眼？洗就完事了！	0	1	1
6月10日 23:43	自走棋？	0	0	0
6月10日 23:46	建议直接给亚索单独出一个孤儿种族哦	1	1	1
6月10日 23:43	学vk？脸都不要了？	1	1	1
6月10日 23:46	我觉着挺好，玩法算抄袭吗？一直想玩自走棋，但刀塔自走棋因为英雄不认识，上手有点费劲，lol出自走棋就很容易上手了	0	0	0
6月10日 23:46	塞拉斯设计师搞的这个游戏吗？	0	0	0
6月10日 23:44	能先把客户端问题解决了？自己的wegame都不兼容，真的臭	1	1	1
6月10日 23:56	8年没创新，一创新还是抄袭，恕我直言拳头这个小作坊巨low无比噢	1	1	1
6月10日 23:43	直接偷了？	1	1	1
6月10日 23:46	LOL大逃杀，LOL自走棋，[拳]也在走TX的老路	0	1	0
6月10日 23:44	这样剽窃就没意思了	0	1	1
6月10日 23:56	我寻思咋这么多人激动着说抄袭和low呢？不喜欢瞧不起可以不要玩嗷，千万别玩嗷，到时候玩一把少一个咖喱人	0	1	1
6月10日 23:44	自走棋？吃鸡最火的时候都没蹭热度，现在跑来搞这个？	0	1	0
6月10日 23:46	不如弄一个自制地图跟rpg模式	0	1	0
6月10日 23:51	多多岛这次真要地震了	0	0	0
6月10日 23:47	刀斯林又开始了？我寻思着一个游戏模式就像moba，大逃杀一样，凭什么别人就不能做了？	0	0	0
6月10日 23:43	看来我江流儿要重出江湖了。	0	0	0
今天 01:10	我已经等不及了	0	0	0
今天 00:01	腾讯：不忘初心	0	0	0
6月10日 23:50	无限乱斗啥时候出？	0	0	0
6月10日 23:59	想问一下玩这个模式有经验吗？	0	0	0
6月10日 23:52	希望能出移动端，方便打发时间，还有别tm更新了这个客户端又开始爆炸	0	1	0
今天 09:12	有时间整这些花里胡哨的就不能修修客户端？	0	0	0
6月10日 23:45	挺好的啊我觉的……dota2自走棋就是原创了？dota自走棋那服务器是人玩的？	0	0	0
6月10日 23:43	。。把无限火力还给我	0	0	0
6月10日 23:43	纳格兰自走棋？	0	0	0
今天 14:52	先把客户端搞好尼玛现在登个游戏都会失败好几次。	1	1	0
